luxes, temp, hum, power
21442.56,30,45,6.55
23162.88,31,45,7.09
21893.12,31,44,6.78
23490.56,31,43,7.45
17771.52,31,44,6.12
21678.08,33,41,7.56
22896.64,31,43,7.8
24248.32,32,42,7.96
23736.32,35,39,7.76
24248.32,36,37,7.88
24924.16,36,36,8.29
24227.84,35,38,8.18
24832,35,36,7.76
26306.56,36,35,7.76
28866.56,36,34,8.12
30720,36,35,8.31
32675.84,36,35,8.54
32102.4,35,36,8.44
33300.48,34,37,8.61
32430.08,33,38,8.41
33208.32,33,37,8.35
34805.76,37,34,8.33
34621.44,39,30,8.15
33863.68,38,31,8.18
36505.6,38,31,8.7
36935.68,40,29,8.61
36782.08,41,28,8.72
38492.16,43,27,8.61
38656,42,27,8.6
39475.2,39,29,8.68
39802.88,41,27,8.79
37816.32,41,27,8.77
36966.4,41,27,8.65
37570.56,40,28,8.85
38389.76,38,30,8.82
38389.76,39,29,8.83
36771.84,40,28,8.69
35676.16,39,29,8.82
34416.64,40,28,8.72
35020.8,41,27,8.81
34631.68,41,26,8.68
35983.36,40,28,8.7
34785.28,41,31,8.56
33546.24,40,32,8.47
31754.24,38,34,8.54
30320.64,37,35,8.18
31016.96,37,37,8.26
30648.32,39,34,8.38
29347.84,35,38,8.27
28590.08,36,37,8.18
28108.8,36,39,8.18
25251.84,33,42,7.33
27893.76,34,41,7.92
27750.4,36,39,7.73
26183.68,34,42,7.27
26470.4,34,41,7.39
26726.4,35,39,7.68
24657.92,33,43,7.41
22149.12,32,45,6.8
23582.72,32,45,7.16
23705.6,30,47,7.16
24012.8,30,47,7.1
21381.12,29,49,6.52
21606.4,30,48,6.67
21094.4,29,50,6.86
19763.2,28,51,6.63
18457.6,28,52,6.31
17981.44,28,54,6.3
16307.2,25,57,6.11
13885.44,25,57,5.95
13168.64,24,57,5.64
13992.96,24,58,5.39
14914.56,23,58,5.24
13890.56,22,62,5.03
12323.84,22,63,4.6
12139.52,21,65,4.62
10263.04,21,65,4.03
9753.6,20,68,3.9
9576.96,19,71,3.61
9487.36,18,75,3.42
8757.76,17,78,3.08
7196.16,16,80,2.64
6579.2,16,83,2.51
6295.04,15,88,2.27
5314.56,13,94,1.98
4807.68,12,99,1.73
4469.76,11,99,1.42
3758.08,9,100,1.25
4280.32,22,77,1.13
4643.84,22,77,1.32
2844.16,23,73,0.81
5716.48,24,71,1.89
6405.12,24,69,1.69
7685.12,24,69,2.47
7877.12,26,65,2.64
9292.8,26,63,3.12
10741.76,26,64,3.64
10792.96,27,62,3.75
10444.8,24,69,3.7
4736,23,70,1.56
7050.24,24,69,2.34
4326.4,24,65,1.42
4326.4,26,61,1.42
15083.52,29,55,5.21
15779.84,27,59,5.35
5137.92,24,64,1.69
6863.36,27,58,2.23
13265.92,31,50,4.26
18053.12,30,50,5.84
12062.72,32,46,4.02
19788.8,33,45,6.22
20920.32,33,45,6.59
22906.88,33,43,6.94
6435.84,32,44,2.06
23664.64,37,38,7.18
23480.32,37,37,7.33
23787.52,37,35,7.58
24545.28,38,35,7.95
24616.96,38,34,7.92
24463.36,37,35,7.9
26429.44,40,29,8.12
21770.24,37,31,7.21
24115.2,38,30,7.95
25169.92,41,28,8.08
26961.92,39,30,8.31
28958.72,40,28,8.31
30617.6,42,27,8.33
31139.84,40,28,8.31
31948.8,39,29,8.31
31815.68,40,28,8.45
20213.76,39,29,5.68
34273.28,40,28,8.5
34170.88,42,27,8.38
36956.16,41,27,8.59
36771.84,40,28,8.55
36567.04,41,28,8.56
36669.44,40,28,8.67
37130.24,41,27,8.6
37468.16,42,27,8.65
39464.96,41,28,8.81
40232.96,41,28,8.72
40181.76,41,28,8.79
40181.76,40,29,8.92
37027.84,40,29,8.72
38021.12,41,28,8.85
37959.68,39,29,8.93
37048.32,40,28,8.77
37048.32,42,28,8.61
36761.6,39,30,8.63
36730.88,41,28,8.77
34529.28,40,30,8.82
35051.52,41,29,8.77
34170.88,42,29,8.73
34406.4,42,29,8.49
35389.44,40,34,8.68
34355.2,38,35,8.69
32235.52,38,35,8.58
31907.84,38,35,8.54
31897.6,37,36,8.42
31303.68,37,34,8.61
28559.36,37,34,8.33
27432.96,38,34,8.17
26664.96,38,36,8
27586.56,36,37,8.05
25487.36,37,40,7.4
26613.76,37,41,7.53
28272.64,37,41,7.76
27197.44,36,41,7.62
27535.36,36,42,7.77
24688.64,36,42,7.39
24227.84,35,43,7.41
23244.8,33,46,7.12
22968.32,33,46,6.94
22487.04,34,45,6.78
21370.88,32,49,6.63
20582.4,31,51,6.44
19614.72,29,54,6.43
18135.04,29,54,6.08
17873.92,28,56,6
17827.84,27,58,6.11
16281.6,26,61,5.96
13132.8,26,60,5.39
13332.48,26,61,5.49
13854.72,26,61,5.21
14735.36,25,62,5.16
13383.68,25,64,4.84
12226.56,23,68,4.53
11596.8,22,71,4.43
10972.16,21,73,4.28
10280.96,20,75,4.03
9868.8,20,75,3.71
9740.8,20,78,3.51
8023.04,18,83,2.85
7667.2,17,89,2.8
5606.4,15,98,2.18
4029.44,15,98,1.51
4554.24,15,98,1.73
4096,14,99,1.55
4779.52,14,100,1.61
4226.56,13,99,1.43
3686.4,12,100,1.28
2864.64,11,99,1.01
4925.44,28,49,1.61
6415.36,30,45,2.06
7644.16,31,43,2.39
8340.48,32,38,2.66
8732.16,32,38,2.88
9518.08,33,37,3.2
9978.88,32,39,3.42
11151.36,33,38,3.87
11197.44,31,40,4.02
11479.04,30,43,4.11
12298.24,32,41,4.3
12625.92,34,38,4.34
13434.88,34,36,4.63
14202.88,33,38,4.83
16256,34,37,5.18
16747.52,34,35,5.35
17699.84,33,38,5.56
18309.12,35,36,5.75
19302.4,33,38,6.07
20648.96,37,34,6.26
20638.72,37,34,6.27
21852.16,39,30,6.49
21964.8,39,31,6.54
22343.68,38,31,6.81
21575.68,40,30,6.82
22241.28,39,30,7.14
21790.72,41,29,7.17
21841.92,38,32,7.21
22517.76,40,29,7.28
23244.8,38,31,7.41
23552,40,28,7.73
23767.04,39,30,7.82
23040,38,31,7.72
24719.36,38,32,7.87
26449.92,36,34,7.92
28487.68,37,33,7.99
30300.16,42,28,8.03
30187.52,40,30,8
32051.2,41,29,8.26
34099.2,39,29,8.41
34785.28,37,32,8.54
36802.56,39,30,8.54
37734.4,41,27,8.5
37795.84,44,27,8.61
37058.56,42,27,8.65
37857.28,42,28,8.61
37672.96,42,27,8.64
40212.48,41,29,8.72
40601.6,42,27,8.7
40396.8,37,34,8.81
40396.8,38,32,8.86
38737.92,38,32,8.88
38092.8,38,32,8.85
38461.44,41,30,8.77
38195.2,40,30,8.87
38277.12,37,34,8.86
37632,39,30,8.76
36945.92,39,30,8.69
34437.12,39,32,8.68
34355.2,39,32,8.64
34007.04,37,33,8.7
34826.24,36,34,8.74
34928.64,35,36,8.69
34775.04,40,30,8.5
32645.12,39,32,8.47
32337.92,39,32,8.42
32563.2,37,34,8.46
31242.24,36,35,8.42
29634.56,35,37,8.41
27381.76,35,38,8.13
27617.28,35,36,8.22
27320.32,36,36,8.1
28323.84,36,35,8.09
28508.16,33,39,8.01
29255.68,34,38,7.94
28467.2,36,35,7.81
26675.2,36,36,7.6
25497.6,34,40,7.62
24535.04,32,41,7.46
24064,30,45,7.33
24299.52,33,42,7.22
24166.4,29,47,7.16
23121.92,30,46,7.1
22599.68,30,46,6.94
21032.96,30,46,6.72
20003.84,30,46,6.57
19384.32,29,48,6.43
18355.2,29,48,6.25
16235.52,28,50,6.03
13905.92,28,52,5.84
13112.32,25,55,5.72
14202.88,26,54,5.53
15119.36,26,56,5.32
14044.16,24,59,5.09
13230.08,23,61,4.92
11970.56,23,62,4.63
11202.56,22,65,4.39
10467.84,22,67,4.11
10211.84,21,69,3.81
10048,19,73,3.51
9262.08,19,75,3.16
8174.08,18,78,2.89
6748.16,17,82,2.6
6440.96,17,84,2.32
5465.6,16,90,2.05
4797.44,15,96,1.8
4912.64,14,100,1.56
4405.76,13,99,1.36
3678.72,11,100,1.22
4001.28,27,42,1.19
4280.32,27,43,1.19
5222.4,28,40,1.74
6213.12,30,38,2.02
7592.96,30,39,2.38
8332.8,29,39,2.68
8798.72,29,38,2.93
9418.24,29,41,3.2
9725.44,30,38,3.4
10526.72,31,36,3.74
11217.92,31,37,3.99
11816.96,32,36,4.19
12544,31,37,4.36
13383.68,32,35,4.61
14044.16,35,31,4.84
15155.2,34,35,5.04
16194.56,35,31,5.15
17530.88,35,30,5.47
18570.24,37,30,5.67
19297.28,38,28,5.9
19128.32,38,29,6.03
19297.28,36,30,6.14
20234.24,37,30,6.43
21155.84,37,29,6.5
22149.12,38,28,6.62
22231.04,38,27,6.84
22159.36,38,27,6.86
21401.6,39,26,6.87
20925.44,39,26,6.91
21739.52,38,28,7.24
22159.36,40,26,7.3
23367.68,40,27,7.5
23121.92,39,28,7.67
23234.56,40,27,7.74
26429.44,40,26,7.83
27043.84,41,25,8
28549.12,41,26,8
29614.08,41,25,8.1
30924.8,40,25,8.29
31416.32,39,26,8.29
32102.4,40,27,8.26
32409.6,41,26,8.37
34088.96,37,29,8.52
34969.6,37,29,8.64
36648.96,35,32,8.73
37550.08,37,31,8.69
37365.76,40,28,8.68
37795.84,42,25,8.65
38123.52,42,25,8.77
37806.08,41,27,8.73
39137.28,37,29,8.77
39997.44,43,24,8.69
40120.32,42,25,8.72
40120.32,41,25,8.77
38338.56,41,27,8.73
38154.24,41,26,8.79
37621.76,38,30,8.77
37693.44,40,27,8.76
37959.68,40,28,8.77
38727.68,41,27,8.81
37201.92,37,31,8.88
35194.88,38,29,8.92
34846.72,37,32,8.81
34048,39,29,8.68
34519.04,38,31,8.58
35993.6,40,28,8.61
34467.84,39,30,8.56
33126.4,39,29,8.51
32829.44,40,27,8.54
33423.36,39,30,8.5
31918.08,35,35,8.54
29521.92,35,36,8.42
28446.72,34,35,8.35
27811.84,36,34,8.31
27402.24,36,34,8.14
27924.48,36,35,8.03
28078.08,38,33,7.92
28764.16,34,35,7.87
27781.12,32,39,7.69
26746.88,36,36,7.64
25180.16,35,36,7.5
24576,36,35,7.41
24934.4,35,37,7.33
24227.84,34,38,7.14
23234.56,34,37,6.91
21934.08,33,40,6.94
21893.12,32,41,6.82
20464.64,29,45,6.59
19445.76,29,45,6.43
19379.2,30,43,6.32
18211.84,30,44,6.14
16471.04,28,46,5.95
14284.8,27,49,5.84
