luxes, temp, hum, curr, volt, power, dd,hh,mm
3133.44,18,79,0.07,14.69,1.09,28,15,17
5765.12,18,76,0.14,14.73,1.98,28,15,12
5575.68,18,77,0.13,14.73,1.93,28,15,7
5506.56,18,77,0.13,14.72,1.93,28,15,2
5931.52,19,74,0.14,14.73,2.01,28,14,57
5565.44,18,75,0.13,14.72,1.92,28,14,52
6051.84,18,80,0.14,14.73,2.11,28,14,47
3304.96,17,78,0.08,14.69,1.18,28,14,42
2769.92,18,77,0.07,14.69,0.99,28,14,37
5309.44,19,76,0.12,14.73,1.82,28,14,32
8555.52,19,75,0.2,14.77,2.97,28,14,27
8302.08,19,73,0.19,14.76,2.88,28,14,22
8747.52,19,75,0.2,14.76,2.97,28,14,17
6686.72,18,77,0.16,14.74,2.29,28,14,12
6755.84,18,77,0.16,14.73,2.28,28,14,7
4930.56,18,77,0.11,14.72,1.68,28,14,2
4707.84,18,76,0.11,14.72,1.65,28,13,57
4413.44,19,75,0.11,14.71,1.56,28,13,52
6074.88,20,72,0.14,14.74,2.11,28,13,47
5235.2,20,70,0.13,14.73,1.86,28,13,42
8742.4,21,68,0.2,14.76,2.96,28,13,37
9927.68,22,69,0.23,14.78,3.34,28,13,32
10145.28,21,73,0.23,14.78,3.37,28,13,27
9525.76,21,74,0.22,14.77,3.2,28,13,22
7733.76,21,74,0.16,15.68,2.51,28,13,17
8448,21,73,0.2,14.76,2.92,28,13,12
10531.84,21,73,0.23,14.78,3.47,28,13,7
8552.96,20,75,0.2,14.76,2.89,28,13,2
7552,20,75,0.18,14.75,2.62,28,12,57
9315.84,21,74,0.22,14.77,3.17,28,12,52
9415.68,20,76,0.22,14.77,3.21,28,12,47
9290.24,20,76,0.21,14.76,3.14,28,12,42
9121.28,20,76,0.21,14.77,3.06,28,12,37
8588.8,19,76,0.2,14.76,2.93,28,12,32
6845.44,18,80,0.16,14.74,2.39,28,12,27
7549.44,19,80,0.17,14.75,2.56,28,12,22
8783.36,19,78,0.2,14.76,2.93,28,12,17
8025.6,19,78,0.18,14.76,2.69,28,12,12
8791.04,20,76,0.2,14.77,2.97,28,12,7
9635.84,20,76,0.22,14.78,3.26,28,12,2
9955.84,20,76,0.23,14.78,3.4,28,11,57
10531.84,20,76,0.24,14.78,3.57,28,11,52
10255.36,20,77,0.23,14.78,3.46,28,11,47
8166.4,20,78,0.19,14.76,2.79,28,11,42
7411.2,19,81,0.17,14.75,2.52,28,11,37
6522.88,19,79,0.16,14.73,2.28,28,11,32
7224.32,20,77,0.17,14.74,2.51,28,11,27
8302.08,19,79,0.19,14.76,2.85,28,11,22
8614.4,19,80,0.2,14.76,3,28,11,17
8194.56,18,82,0.19,14.76,2.88,28,11,12
7987.2,18,83,0.19,14.75,2.76,28,11,7
5189.12,18,84,0.13,14.72,1.84,28,11,2
6190.08,18,83,0.14,14.73,2.11,28,10,57
6760.96,17,85,0.16,14.74,2.32,28,10,52
6277.12,17,85,0.15,14.73,2.15,28,10,47
6284.8,18,83,0.15,14.73,2.15,28,10,42
7344.64,18,82,0.17,14.74,2.51,28,10,37
10339.84,18,79,0.23,14.78,3.43,28,10,32
9799.68,18,82,0.22,14.77,3.3,28,10,27
6515.2,18,83,0.14,14.73,2.11,28,10,22
8860.16,18,84,0.2,14.76,3.01,28,10,17
10122.24,18,85,0.23,14.78,3.4,28,10,12
9830.4,18,87,0.22,14.77,3.33,28,10,7
10705.92,17,89,0.25,14.79,3.65,28,10,2
8135.68,16,93,0.19,14.75,2.82,28,9,57
8389.12,16,98,0.2,14.76,2.92,28,9,52
9126.4,16,96,0.21,14.77,3.08,28,9,47
8509.44,15,100,0.2,14.76,2.89,28,9,42
7582.72,15,99,0.18,14.75,2.6,28,9,37
6264.32,15,100,0.15,14.73,2.24,28,9,32
5803.52,14,99,0.14,14.73,2.1,28,9,27
5401.6,14,100,0.13,14.73,1.97,28,9,22
4761.6,13,99,0.11,14.72,1.65,28,9,17
